count	ckey	example_surface	example_path	top_book
1	وقال الصادق عليه السلام: «من مشي	وَقَالَ اَلصَّادِقُ عَلَيْهِ اَلسَّلاَمُ: «مَنْ مَشَى	books/man-la-yahduruhu-al-faqih/1/38/23.json	man-la-yahduruhu-al-faqih
1	المسجد لم يضع رجليه علي رطب	اَلْمَسْجِدِ لَمْ يَضَعْ رِجْلَيْهِ عَلَى رَطْبٍ	books/man-la-yahduruhu-al-faqih/1/38/23.json	man-la-yahduruhu-al-faqih
1	لا يابس الا يسبح له	لاَ يَابِسٍ إِلاَّ يُسَبِّحُ لَهُ	books/man-la-yahduruhu-al-faqih/1/38/23.json	man-la-yahduruhu-al-faqih
1	الارضين السابعه. وقد اخرجت هذه الاخبار مسنده وما رويت في	اَلْأَرَضِينَ اَلسَّابِعَةِ. وقد أخرجت هذه الأخبار مسندة وما رويت في	books/man-la-yahduruhu-al-faqih/1/38/23.json	man-la-yahduruhu-al-faqih
1	المساجد المظلله يكره القيام	اَلْمَسَاجِدِ اَلْمُظَلَّلَةِ يُكْرَهُ اَلْقِيَامُ	books/man-la-yahduruhu-al-faqih/1/38/27.json	man-la-yahduruhu-al-faqih
1	سيل ابو الحسن الاول	سُئِلَ أَبُو اَلْحَسَنِ اَلْأَوَّلُ عَلَيْهِ اَلسَّلاَمُ:	books/man-la-yahduruhu-al-faqih/1/38/31.json	man-la-yahduruhu-al-faqih
1	بيت قد كان الجص يطبخ بالعذره ا يصلح ان يجصص به المسجد	بَيْتٍ قَدْ كَانَ اَلْجِصُّ يُطْبَخُ بِالْعَذِرَةِ أَ يَصْلُحُ أَنْ يُجَصَّصَ بِهِ اَلْمَسْجِدُ	books/man-la-yahduruhu-al-faqih/1/38/32.json	man-la-yahduruhu-al-faqih
1	بيت قد كان حشا زمانا هل يصلح ان يجعل مسجدا	بَيْتٍ قَدْ كَانَ حَشّاً زَمَاناً هَلْ يَصْلُحُ أَنْ يُجْعَلَ مَسْجِداً	books/man-la-yahduruhu-al-faqih/1/38/33.json	man-la-yahduruhu-al-faqih
1	سمع النبي صلي الله عليه	سَمِعَ اَلنَّبِيُّ صَلَّى اَللَّهُ عَلَيْهِ	books/man-la-yahduruhu-al-faqih/1/38/36.json	man-la-yahduruhu-al-faqih
1	اله رجلا ينشد ضاله	آلِهِ رَجُلاً يُنْشِدُ ضَالَّةً	books/man-la-yahduruhu-al-faqih/1/38/36.json	man-la-yahduruhu-al-faqih
1	اله: «الصلاه	آلِهِ: «اَلصَّلاَةُ	books/man-la-yahduruhu-al-faqih/1/38/4.json	man-la-yahduruhu-al-faqih
1	الوقوف علي المساجد	اَلْوُقُوفِ عَلَى اَلْمَسَاجِدِ	books/man-la-yahduruhu-al-faqih/1/38/40.json	man-la-yahduruhu-al-faqih
1	وقال ابو جعفر عليه السلام لابي حمزه الثمالي: «المساجد الاربعه المسجد الحرام	وَقَالَ أَبُو جَعْفَرٍ عَلَيْهِ اَلسَّلاَمُ لِأَبِي حَمْزَةَ اَلثُّمَالِيِّ: «اَلْمَسَاجِدُ اَلْأَرْبَعَةُ اَلْمَسْجِدُ اَلْحَرَامُ	books/man-la-yahduruhu-al-faqih/1/38/6.json	man-la-yahduruhu-al-faqih
1	مسجد الرسول صلي الله عليه	مَسْجِدُ اَلرَّسُولِ صَلَّى اَللَّهُ عَلَيْهِ	books/man-la-yahduruhu-al-faqih/1/38/6.json	man-la-yahduruhu-al-faqih
1	مسجد بيت المقدس	مَسْجِدُ بَيْتِ اَلْمَقْدِسِ	books/man-la-yahduruhu-al-faqih/1/38/6.json	man-la-yahduruhu-al-faqih
1	مسجد الكوفه يا ابا حمزه الفريضه	مَسْجِدُ اَلْكُوفَةِ يَا أَبَا حَمْزَةَ اَلْفَرِيضَةُ	books/man-la-yahduruhu-al-faqih/1/38/6.json	man-la-yahduruhu-al-faqih
1	اله: «من اتي مسجدي مسجد قبا فصلي	آلِهِ: «مَنْ أَتَى مَسْجِدِي مَسْجِدَ قُبَا فَصَلَّى	books/man-la-yahduruhu-al-faqih/1/38/8.json	man-la-yahduruhu-al-faqih
1	سال عامر بن نعيم القمي ابا عبد الله	سَأَلَ عَامِرُ بْنُ نُعَيْمٍ اَلْقُمِّيُّ أَبَا عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ:	books/man-la-yahduruhu-al-faqih/1/39/10.json	man-la-yahduruhu-al-faqih
1	المنازل التي ينزلها الناس	اَلْمَنَازِلِ اَلَّتِي يَنْزِلُهَا اَلنَّاسُ	books/man-la-yahduruhu-al-faqih/1/39/10.json	man-la-yahduruhu-al-faqih
1	سال علي بن مهزيار ابا الحسن الثالث	سَأَلَ عَلِيُّ بْنُ مَهْزِيَارَ أَبَا اَلْحَسَنِ اَلثَّالِثَ عَلَيْهِ اَلسَّلاَمُ:	books/man-la-yahduruhu-al-faqih/1/39/11.json	man-la-yahduruhu-al-faqih
1	الرجل يصير	اَلرَّجُلِ يَصِيرُ	books/man-la-yahduruhu-al-faqih/1/39/11.json	man-la-yahduruhu-al-faqih
1	عنه عليه السلام ايوب بن نوح	عنه عليه السلام أيوب بن نوح أنه	books/man-la-yahduruhu-al-faqih/1/39/12.json	man-la-yahduruhu-al-faqih
1	الدار لا تصيبهما الشمس	اَلدَّارِ لاَ تُصِيبُهُمَا اَلشَّمْسُ	books/man-la-yahduruhu-al-faqih/1/39/13.json	man-la-yahduruhu-al-faqih
1	يصيبهما البول	يُصِيبُهُمَا اَلْبَوْلُ	books/man-la-yahduruhu-al-faqih/1/39/13.json	man-la-yahduruhu-al-faqih
1	الباريه يبل قصبها بماء قذر هل تجوز الصلاه عليها	اَلْبَارِيَّةِ يُبَلُّ قَصَبُهَا بِمَاءٍ قَذِرٍ هَلْ تَجُوزُ اَلصَّلاَةُ عَلَيْهَا	books/man-la-yahduruhu-al-faqih/1/39/14.json	man-la-yahduruhu-al-faqih
1	الشاذكونه تكون عليها الجنابه ا يصلي عليها	اَلشَّاذَكُونَةِ تَكُونُ عَلَيْهَا اَلْجَنَابَةُ أَ يُصَلَّى عَلَيْهَا	books/man-la-yahduruhu-al-faqih/1/39/15.json	man-la-yahduruhu-al-faqih
1	الوسايد تكون	اَلْوَسَائِدِ تَكُونُ	books/man-la-yahduruhu-al-faqih/1/39/17.json	man-la-yahduruhu-al-faqih
1	التماثيل تكون	اَلتَّمَاثِيلِ تَكُونُ	books/man-la-yahduruhu-al-faqih/1/39/18.json	man-la-yahduruhu-al-faqih
1	الاسير ياسره المشركون فتحضره الصلاه فيمنعه الذي اسره منها	اَلْأَسِيرِ يَأْسِرُهُ اَلْمُشْرِكُونَ فَتَحْضُرُهُ اَلصَّلاَةُ فَيَمْنَعُهُ اَلَّذِي أَسَرَهُ مِنْهَا	books/man-la-yahduruhu-al-faqih/1/39/22.json	man-la-yahduruhu-al-faqih
1	المراه يصليان	اَلْمَرْأَةِ يُصَلِّيَانِ	books/man-la-yahduruhu-al-faqih/1/39/23.json	man-la-yahduruhu-al-faqih
1	وقال الرضا عليه السلام: «كل طريق يوطا	وَقَالَ اَلرِّضَا عَلَيْهِ اَلسَّلاَمُ: «كُلُّ طَرِيقٍ يُوطَأُ	books/man-la-yahduruhu-al-faqih/1/39/5.json	man-la-yahduruhu-al-faqih
1	يتطرق كانت	يُتَطَرَّقُ كَانَتْ	books/man-la-yahduruhu-al-faqih/1/39/5.json	man-la-yahduruhu-al-faqih
1	وقال صالح بن الحكم سيل الصادق	وَقَالَ صَالِحُ بْنُ اَلْحَكَمِ سُئِلَ اَلصَّادِقُ عَلَيْهِ اَلسَّلاَمُ:	books/man-la-yahduruhu-al-faqih/1/39/8.json	man-la-yahduruhu-al-faqih
1	البول يكون علي السطح او	اَلْبَوْلِ يَكُونُ عَلَى اَلسَّطْحِ أَوْ	books/man-la-yahduruhu-al-faqih/1/39/9.json	man-la-yahduruhu-al-faqih
1	ابي جعفر عليه السلام انه ساله	أَبِي جَعْفَرٍ عَلَيْهِ اَلسَّلاَمُ أَنَّهُ سَأَلَهُ:	books/man-la-yahduruhu-al-faqih/1/40/1.json	man-la-yahduruhu-al-faqih
1	جلد الميته يلبس	جِلْدِ اَلْمَيْتَةِ يُلْبَسُ	books/man-la-yahduruhu-al-faqih/1/40/1.json	man-la-yahduruhu-al-faqih
1	الرجل هل يصلح له ان يصلي	اَلرَّجُلِ هَلْ يَصْلُحُ لَهُ أَنْ يُصَلِّيَ	books/man-la-yahduruhu-al-faqih/1/40/12.json	man-la-yahduruhu-al-faqih
1	امامه مشجب عليه ثياب	أَمَامَهُ مِشْجَبٌ عَلَيْهِ ثِيَابٌ	books/man-la-yahduruhu-al-faqih/1/40/12.json	man-la-yahduruhu-al-faqih
1	امامه ثوم او بصل	أَمَامَهُ ثُومٌ أَوْ بَصَلٌ	books/man-la-yahduruhu-al-faqih/1/40/13.json	man-la-yahduruhu-al-faqih
1	الرجل هل يصلح ان يصلي علي الرطبه النابته	اَلرَّجُلِ هَلْ يَصْلُحُ أَنْ يُصَلِّيَ عَلَى اَلرَّطْبَةِ اَلنَّابِتَةِ	books/man-la-yahduruhu-al-faqih/1/40/14.json	man-la-yahduruhu-al-faqih
1	الصلاه علي الحشيش النابت او الثيل	اَلصَّلاَةِ عَلَى اَلْحَشِيشِ اَلنَّابِتِ أَوِ اَلثَّيِّلِ	books/man-la-yahduruhu-al-faqih/1/40/15.json	man-la-yahduruhu-al-faqih
1	هو يصيب ارضا جددا	هُوَ يُصِيبُ أَرْضاً جَدَداً	books/man-la-yahduruhu-al-faqih/1/40/15.json	man-la-yahduruhu-al-faqih
1	عن الرجل هل يصلح له ان يصلي	عَنِ اَلرَّجُلِ هَلْ يَصْلُحُ لَهُ أَنْ يُصَلِّيَ	books/man-la-yahduruhu-al-faqih/1/40/16.json	man-la-yahduruhu-al-faqih
1	السراج موضوع بين يديه	اَلسِّرَاجُ مَوْضُوعٌ بَيْنَ يَدَيْهِ	books/man-la-yahduruhu-al-faqih/1/40/16.json	man-la-yahduruhu-al-faqih
1	فاما الحديث الذي روي	فَأَمَّا اَلْحَدِيثُ اَلَّذِي رُوِيَ	books/man-la-yahduruhu-al-faqih/1/40/17.json	man-la-yahduruhu-al-faqih
1	اله يكره السواد الا	آلِهِ يَكْرَهُ اَلسَّوَادَ إِلاَّ	books/man-la-yahduruhu-al-faqih/1/40/20.json	man-la-yahduruhu-al-faqih
1	روي: انه هبط جبرييل عليه السلام علي رسول الله صلي الله عليه	رُوِيَ: أَنَّهُ هَبَطَ جَبْرَئِيلُ عَلَيْهِ اَلسَّلاَمُ عَلَى رَسُولِ اَللَّهِ صَلَّى اَللَّهُ عَلَيْهِ	books/man-la-yahduruhu-al-faqih/1/40/21.json	man-la-yahduruhu-al-faqih
1	فقد روي	فَقَدْ رُوِيَ	books/man-la-yahduruhu-al-faqih/1/40/23.json	man-la-yahduruhu-al-faqih
1	اله: «لا يصلي الرجل و	آلِهِ: «لاَ يُصَلِّي اَلرَّجُلُ وَ	books/man-la-yahduruhu-al-faqih/1/40/24.json	man-la-yahduruhu-al-faqih
1	ابو الجارود	أَبُو اَلْجَارُودِ	books/man-la-yahduruhu-al-faqih/1/40/27.json	man-la-yahduruhu-al-faqih
1	ابي جعفر عليه السلام: «ان النبي صلي الله عليه	أَبِي جَعْفَرٍ عَلَيْهِ اَلسَّلاَمُ: «أَنَّ اَلنَّبِيَّ صَلَّى اَللَّهُ عَلَيْهِ	books/man-la-yahduruhu-al-faqih/1/40/27.json	man-la-yahduruhu-al-faqih
1	امامه شيء من الطير	أَمَامَهُ شَيْءٌ مِنَ اَلطَّيْرِ	books/man-la-yahduruhu-al-faqih/1/40/28.json	man-la-yahduruhu-al-faqih
1	الخلاخل هل يصلح لبسها للنساء	اَلْخَلاَخِلِ هَلْ يَصْلُحُ لُبْسُهَا لِلنِّسَاءِ	books/man-la-yahduruhu-al-faqih/1/40/29.json	man-la-yahduruhu-al-faqih
1	ابو عبد الله عليهما السلام فقيل لهما انا نشتري ثيابا يصيبها الخمر	أَبُو عَبْدِ اَللَّهِ عَلَيْهِمَا اَلسَّلاَمُ فَقِيلَ لَهُمَا إِنَّا نَشْتَرِي ثِيَاباً يُصِيبُهَا اَلْخَمْرُ	books/man-la-yahduruhu-al-faqih/1/40/3.json	man-la-yahduruhu-al-faqih
1	ودك الخنزير عند حاكتها ا نصلي	وَدَكُ اَلْخِنْزِيرِ عِنْدَ حَاكَتِهَا أَ نُصَلِّي	books/man-la-yahduruhu-al-faqih/1/40/3.json	man-la-yahduruhu-al-faqih
1	فاره المسك تكون مع من يصلي	فَأْرَةِ اَلْمِسْكِ تَكُونُ مَعَ مَنْ يُصَلِّي	books/man-la-yahduruhu-al-faqih/1/40/30.json	man-la-yahduruhu-al-faqih
1	الرجل هل يصلح له ان يصلي و	اَلرَّجُلِ هَلْ يَصْلُحُ لَهُ أَنْ يُصَلِّيَ وَ	books/man-la-yahduruhu-al-faqih/1/40/31.json	man-la-yahduruhu-al-faqih
1	سال عمار بن موسي ابا عبد الله	سَأَلَ عَمَّارُ بْنُ مُوسَى أَبَا عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ:	books/man-la-yahduruhu-al-faqih/1/40/32.json	man-la-yahduruhu-al-faqih
1	الرجل هل يجوز له ان يصلي	اَلرَّجُلِ هَلْ يَجُوزُ لَهُ أَنْ يُصَلِّيَ	books/man-la-yahduruhu-al-faqih/1/40/32.json	man-la-yahduruhu-al-faqih
1	بين يديه مصحف مفتوح	بَيْنَ يَدَيْهِ مُصْحَفٌ مَفْتُوحٌ	books/man-la-yahduruhu-al-faqih/1/40/32.json	man-la-yahduruhu-al-faqih
1	سال حبيب بن المعلي ابا عبد الله	سأل حبيب بن المعلى أبا عبد الله عليه السلام	books/man-la-yahduruhu-al-faqih/1/40/33.json	man-la-yahduruhu-al-faqih
1	الدراهم السود تكون مع الرجل	اَلدَّرَاهِمِ اَلسُّودِ تَكُونُ مَعَ اَلرَّجُلِ	books/man-la-yahduruhu-al-faqih/1/40/35.json	man-la-yahduruhu-al-faqih
1	هو يصلي مربوطه او غير مربوطه	هُوَ يُصَلِّي مَرْبُوطَةً أَوْ غَيْرَ مَرْبُوطَةٍ	books/man-la-yahduruhu-al-faqih/1/40/35.json	man-la-yahduruhu-al-faqih
1	سال موسي بن عمر بن بزيع ابا الحسن الرضا	سأل موسى بن عمر بن بزيع أبا الحسن الرضا عليه السلام	books/man-la-yahduruhu-al-faqih/1/40/36.json	man-la-yahduruhu-al-faqih
1	سال العيص بن القاسم , ابا عبد الله	سَأَلَ اَلْعِيصُ بْنُ اَلْقَاسِمِ ، أَبَا عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ:	books/man-la-yahduruhu-al-faqih/1/40/37.json	man-la-yahduruhu-al-faqih
1	سال محمد بن علي الحلبي ابا عبد الله	سَأَلَ مُحَمَّدُ بْنُ عَلِيٍّ اَلْحَلَبِيُّ أَبَا عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ:	books/man-la-yahduruhu-al-faqih/1/40/4.json	man-la-yahduruhu-al-faqih
1	الرجل يكون له الثوب الواحد	اَلرَّجُلِ يَكُونُ لَهُ اَلثَّوْبُ اَلْوَاحِدُ	books/man-la-yahduruhu-al-faqih/1/40/4.json	man-la-yahduruhu-al-faqih
1	سال سليمان بن جعفر الجعفري العبد الصالح موسي بن جعفر	سَأَلَ سُلَيْمَانُ بْنُ جَعْفَرٍ اَلْجَعْفَرِيُّ اَلْعَبْدَ اَلصَّالِحَ مُوسَى بْنَ جَعْفَرٍ عَلَيْهِمَا اَلسَّلاَمُ:	books/man-la-yahduruhu-al-faqih/1/40/43.json	man-la-yahduruhu-al-faqih
1	الرجل ياتي السوق فيشتري جبه فراء لا يدري ا ذكيه هي ام غير ذكيه ا يصلي	اَلرَّجُلِ يَأْتِي اَلسُّوقَ فَيَشْتَرِي جُبَّةَ فِرَاءٍ لاَ يَدْرِي أَ ذَكِيَّةٌ هِيَ أَمْ غَيْرُ ذَكِيَّةٍ أَ يُصَلِّي	books/man-la-yahduruhu-al-faqih/1/40/43.json	man-la-yahduruhu-al-faqih
1	سال اسماعيل بن عيسي ابا الحسن الرضا	سَأَلَ إِسْمَاعِيلُ بْنُ عِيسَى أَبَا اَلْحَسَنِ اَلرِّضَا عَلَيْهِ اَلسَّلاَمُ:	books/man-la-yahduruhu-al-faqih/1/40/44.json	man-la-yahduruhu-al-faqih
1	الفراء يشتريه الرجل	اَلْفِرَاءِ يَشْتَرِيهِ اَلرَّجُلُ	books/man-la-yahduruhu-al-faqih/1/40/44.json	man-la-yahduruhu-al-faqih
1	جعفر بن محمد بن يونس ان اباه كتب	جَعْفَرِ بْنِ مُحَمَّدِ بْنِ يُونُسَ أَنَّ أَبَاهُ كَتَبَ	books/man-la-yahduruhu-al-faqih/1/40/45.json	man-la-yahduruhu-al-faqih
1	الخف البسه	اَلْخُفِّ أَلْبَسُهُ	books/man-la-yahduruhu-al-faqih/1/40/45.json	man-la-yahduruhu-al-faqih
1	هاشم الحناط	هَاشِمٍ اَلْحَنَّاطِ أَنَّهُ	books/man-la-yahduruhu-al-faqih/1/40/46.json	man-la-yahduruhu-al-faqih
1	ساله عليه السلام عبد الرحمن بن ابي عبد الله	سَأَلَهُ عَلَيْهِ اَلسَّلاَمُ عَبْدُ اَلرَّحْمَنِ بْنُ أَبِي عَبْدِ اَللَّهِ:	books/man-la-yahduruhu-al-faqih/1/40/5.json	man-la-yahduruhu-al-faqih
1	الرجل يجنب	اَلرَّجُلِ يُجْنِبُ	books/man-la-yahduruhu-al-faqih/1/40/5.json	man-la-yahduruhu-al-faqih
1	ابي عبد الله عليه السلام: انه ساله	أَبِي عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ: أَنَّهُ سَأَلَهُ	books/man-la-yahduruhu-al-faqih/1/40/50.json	man-la-yahduruhu-al-faqih
1	ثوب المجوسي البسه	ثَوْبِ اَلْمَجُوسِيِّ أَلْبَسُهُ	books/man-la-yahduruhu-al-faqih/1/40/50.json	man-la-yahduruhu-al-faqih
1	ابي جعفر عليه السلام: انه ساله رجل	أَبِي جَعْفَرٍ عَلَيْهِ اَلسَّلاَمُ: أَنَّهُ سَأَلَهُ رَجُلٌ	books/man-la-yahduruhu-al-faqih/1/40/51.json	man-la-yahduruhu-al-faqih
1	الرجل يخرج من الحمام او يغتسل فيتوشح	اَلرَّجُلِ يَخْرُجُ مِنَ اَلْحَمَّامِ أَوْ يَغْتَسِلُ فَيَتَوَشَّحُ	books/man-la-yahduruhu-al-faqih/1/40/51.json	man-la-yahduruhu-al-faqih
1	يلبس قميصه فوق ازاره فيصلي	يَلْبَسُ قَمِيصَهُ فَوْقَ إِزَارِهِ فَيُصَلِّي	books/man-la-yahduruhu-al-faqih/1/40/51.json	man-la-yahduruhu-al-faqih
1	هو كذلك	هُوَ كَذَلِكَ	books/man-la-yahduruhu-al-faqih/1/40/51.json	man-la-yahduruhu-al-faqih
1	سال عبد الله بن بكير , ابا عبد الله	سأل عبد الله بن بكير ، أبا عبد الله عليه السلام:	books/man-la-yahduruhu-al-faqih/1/40/52.json	man-la-yahduruhu-al-faqih
1	سال داود الصرمي ابا الحسن علي بن محمد	سأل داود الصرمي أبا الحسن علي بن محمد عليه السلام	books/man-la-yahduruhu-al-faqih/1/40/54.json	man-la-yahduruhu-al-faqih
1	وقال ابراهيم بن ابي محمود للرضا عليه السلام: الرجل يصلي علي سرير من ساج	وَقَالَ إِبْرَاهِيمُ بْنُ أَبِي مَحْمُودٍ لِلرِّضَا عَلَيْهِ اَلسَّلاَمُ: اَلرَّجُلُ يُصَلِّي عَلَى سَرِيرٍ مِنْ سَاجٍ	books/man-la-yahduruhu-al-faqih/1/40/55.json	man-la-yahduruhu-al-faqih
1	يسجد علي الساج	يَسْجُدُ عَلَى اَلسَّاجِ	books/man-la-yahduruhu-al-faqih/1/40/55.json	man-la-yahduruhu-al-faqih
1	لحوم السباع من الطير	لُحُومِ اَلسِّبَاعِ مِنَ اَلطَّيْرِ	books/man-la-yahduruhu-al-faqih/1/40/57.json	man-la-yahduruhu-al-faqih
1	ابي محمد الحسن عليه السلام: يساله	أَبِي مُحَمَّدٍ اَلْحَسَنِ عَلَيْهِ اَلسَّلاَمُ: يَسْأَلُهُ	books/man-la-yahduruhu-al-faqih/1/40/62.json	man-la-yahduruhu-al-faqih
1	يوسف بن محمد بن ابراهيم عنه	يوسف بن محمد بن إبراهيم عنه أنه	books/man-la-yahduruhu-al-faqih/1/40/64.json	man-la-yahduruhu-al-faqih
1	عنه مسمع بن عبد الملك البصري	عنه مسمع بن عبد الملك البصري أنه	books/man-la-yahduruhu-al-faqih/1/40/65.json	man-la-yahduruhu-al-faqih
1	سال محمد بن اسماعيل بن بزيع ابا الحسن الرضا	سَأَلَ مُحَمَّدُ بْنُ إِسْمَاعِيلَ بْنِ بَزِيعٍ أَبَا اَلْحَسَنِ اَلرِّضَا عَلَيْهِ اَلسَّلاَمُ:	books/man-la-yahduruhu-al-faqih/1/40/66.json	man-la-yahduruhu-al-faqih
1	تقليد السيف	تَقْلِيدِ اَلسَّيْفِ	books/man-la-yahduruhu-al-faqih/1/40/67.json	man-la-yahduruhu-al-faqih
1	سال علي بن الريان بن الصلت ابا الحسن الثالث	سَأَلَ عَلِيُّ بْنُ اَلرَّيَّانِ بْنِ اَلصَّلْتِ أَبَا اَلْحَسَنِ اَلثَّالِثَ عَلَيْهِ اَلسَّلاَمُ:	books/man-la-yahduruhu-al-faqih/1/40/68.json	man-la-yahduruhu-al-faqih
1	الرجل ياخذ من شعره	اَلرَّجُلِ يَأْخُذُ مِنْ شَعْرِهِ	books/man-la-yahduruhu-al-faqih/1/40/68.json	man-la-yahduruhu-al-faqih
1	اظفاره ثم يقوم	أَظْفَارِهِ ثُمَّ يَقُومُ	books/man-la-yahduruhu-al-faqih/1/40/68.json	man-la-yahduruhu-al-faqih
1	الصلاه من غير ان ينفضه من ثوبه	اَلصَّلاَةِ مِنْ غَيْرِ أَنْ يَنْفُضَهُ مِنْ ثَوْبِهِ	books/man-la-yahduruhu-al-faqih/1/40/68.json	man-la-yahduruhu-al-faqih
1	عليه البرطله	عَلَيْهِ اَلْبُرْطُلَةُ	books/man-la-yahduruhu-al-faqih/1/40/69.json	man-la-yahduruhu-al-faqih
1	رجل عريان	رَجُلٍ عُرْيَانٍ	books/man-la-yahduruhu-al-faqih/1/40/7.json	man-la-yahduruhu-al-faqih
1	حضرت الصلاه فاصاب ثوبا نصفه دم او كله دم يصلي	حَضَرَتِ اَلصَّلاَةُ فَأَصَابَ ثَوْباً نِصْفُهُ دَمٌ أَوْ كُلُّهُ دَمٌ يُصَلِّي	books/man-la-yahduruhu-al-faqih/1/40/7.json	man-la-yahduruhu-al-faqih
1	سال الحلبي	سَأَلَ اَلْحَلَبِيُّ	books/man-la-yahduruhu-al-faqih/1/40/75.json	man-la-yahduruhu-al-faqih
1	عبد الله بن سنان ابا عبد الله عليه السلام: هل يقرا الرجل	عَبْدُ اَللَّهِ بْنُ سِنَانٍ أَبَا عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ: هَلْ يَقْرَأُ اَلرَّجُلُ	books/man-la-yahduruhu-al-faqih/1/40/75.json	man-la-yahduruhu-al-faqih
1	سال رفاعه بن موسي ابا الحسن موسي بن جعفر	سَأَلَ رِفَاعَةُ بْنُ مُوسَى أَبَا اَلْحَسَنِ مُوسَى بْنَ جَعْفَرٍ عَلَيْهِمَا اَلسَّلاَمُ:	books/man-la-yahduruhu-al-faqih/1/40/76.json	man-la-yahduruhu-al-faqih
1	المختضب اذا تمكن من السجود	اَلْمُخْتَضِبِ إِذَا تَمَكَّنَ مِنَ اَلسُّجُودِ	books/man-la-yahduruhu-al-faqih/1/40/76.json	man-la-yahduruhu-al-faqih
1	القراءه ا يصلي	اَلْقِرَاءَةِ أَ يُصَلِّي	books/man-la-yahduruhu-al-faqih/1/40/76.json	man-la-yahduruhu-al-faqih
1	ابي الحسن موسي بن جعفر عليهما السلام: انهما سالاه	أَبِي اَلْحَسَنِ مُوسَى بْنِ جَعْفَرٍ عَلَيْهِمَا اَلسَّلاَمُ: أَنَّهُمَا سَأَلاَهُ	books/man-la-yahduruhu-al-faqih/1/40/77.json	man-la-yahduruhu-al-faqih
1	المراه يختضبان ا يصليان	اَلْمَرْأَةِ يَخْتَضِبَانِ أَ يُصَلِّيَانِ	books/man-la-yahduruhu-al-faqih/1/40/77.json	man-la-yahduruhu-al-faqih
1	هما مختضبان بالحناء	هُمَا مُخْتَضِبَانِ بِالْحِنَّاءِ	books/man-la-yahduruhu-al-faqih/1/40/77.json	man-la-yahduruhu-al-faqih
1	لا يخرج يديه من ثوبه	لاَ يُخْرِجُ يَدَيْهِ مِنْ ثَوْبِهِ	books/man-la-yahduruhu-al-faqih/1/40/78.json	man-la-yahduruhu-al-faqih
1	كتب صفوان بن يحيي	كَتَبَ صَفْوَانُ بْنُ يَحْيَى	books/man-la-yahduruhu-al-faqih/1/40/8.json	man-la-yahduruhu-al-faqih
1	الرجل معه ثوبان فاصاب احدهما بول	اَلرَّجُلِ مَعَهُ ثَوْبَانِ فَأَصَابَ أَحَدَهُمَا بَوْلٌ	books/man-la-yahduruhu-al-faqih/1/40/8.json	man-la-yahduruhu-al-faqih
1	لم يدر ايهما هو	لَمْ يَدْرِ أَيُّهُمَا هُوَ	books/man-la-yahduruhu-al-faqih/1/40/8.json	man-la-yahduruhu-al-faqih
1	حضرت الصلاه	حَضَرَتِ اَلصَّلاَةُ	books/man-la-yahduruhu-al-faqih/1/40/8.json	man-la-yahduruhu-al-faqih
1	خاف فوتها	خَافَ فَوْتَهَا	books/man-la-yahduruhu-al-faqih/1/40/8.json	man-la-yahduruhu-al-faqih
1	ليس عنده ماء كيف يصنع	لَيْسَ عِنْدَهُ مَاءٌ كَيْفَ يَصْنَعُ	books/man-la-yahduruhu-al-faqih/1/40/8.json	man-la-yahduruhu-al-faqih
1	وقال محمد بن مسلم لابي جعفر عليه السلام: الدم يكون	وقال محمد بن مسلم لأبي جعفر عليه السلام: الدم يكون	books/man-la-yahduruhu-al-faqih/1/40/9.json	man-la-yahduruhu-al-faqih
1	وقال يونس بن يعقوب: رايت ابا عبد الله عليه السلام يسوي الحصي	وقال يونس بن يعقوب: رأيت أبا عبد الله عليه السلام يسوي الحصى	books/man-la-yahduruhu-al-faqih/1/41/11.json	man-la-yahduruhu-al-faqih
1	علي بن بجيل	عَلِيِّ بْنِ بَجِيلٍ أَنَّهُ 	books/man-la-yahduruhu-al-faqih/1/41/12.json	man-la-yahduruhu-al-faqih
1	المكان يكون	اَلْمَكَانِ يَكُونُ	books/man-la-yahduruhu-al-faqih/1/41/14.json	man-la-yahduruhu-al-faqih
1	سال المعلي بن خنيس ابا عبد الله	سَأَلَ اَلْمُعَلَّى بْنُ خُنَيْسٍ أَبَا عَبْدِ اَللَّهِ عَلَيْهِ اَلسَّلاَمُ:	books/man-la-yahduruhu-al-faqih/1/41/5.json	man-la-yahduruhu-al-faqih
1	الصلاه علي القفر	اَلصَّلاَةِ عَلَى اَلْقُفْرِ	books/man-la-yahduruhu-al-faqih/1/41/5.json	man-la-yahduruhu-al-faqih
1	الصلاه علي القار	اَلصَّلاَةِ عَلَى اَلْقَارِ	books/man-la-yahduruhu-al-faqih/1/41/9.json	man-la-yahduruhu-al-faqih
1	راي ص نخامه	رأى ص نخامة	books/man-la-yahduruhu-al-faqih/1/43/7.json	man-la-yahduruhu-al-faqih
1	الحسن بن قارن	اَلْحَسَنِ بْنِ قَارِنٍ أَنَّهُ	books/man-la-yahduruhu-al-faqih/1/44/2.json	man-la-yahduruhu-al-faqih
