count	ckey	example_surface	example_path	top_book
19	سندي بن محمد	سنِديِ ّ بنِ مُحَمّدٍ	books/al-istibsar/1/279/1.json	tahdhib-al-ahkam
19	الحسن بن عبد الله بن محمد بن عيسي	حَدَّثَنِي الْحَسَنُ بْنُ عَبْدِ اللَّهِ بْنِ مُحَمَّدِ بْنِ عِيسَى	books/kamil-al-ziyarat/2/105/9.json	kamil-al-ziyarat
18	احمد بن هارون الفامي	أحمد بن هارون الفامي (رضي الله عنه)، قال	books/al-amali-saduq/1/10.json	al-amali-saduq
18	ابي عبد الله الصادق	أَبِي عَبْدِ اللَّهِ الصَّادِقِ 	books/al-amali-saduq/32/2.json	al-amali-saduq
18	العلاء عن محمد بن مسلم عن ابي جعفر	العَلَاءِ عَن مُحَمّدِ بنِ مُسلِمٍ عَن أَبِي جَعفَرٍ ع	books/al-istibsar/4/33/13.json	al-istibsar
18	محمد بن يعقوب عن عده من اصحابنا عن سهل بن زياد	مُحَمّدُ بنُ يَعقُوبَ عَن عِدّةٍ مِن أَصحَابِنَا عَن سَهلِ بنِ زِيَادٍ	books/al-istibsar/3/1/5.json	al-istibsar
18	محمد بن عيسي العبيدي	محمد بن عيسي العبيدي 	books/al-istibsar/1/16/2.json	tahdhib-al-ahkam
18	ابي محمد هارون بن موسي	أبي محمد هارون بن موسى قال	books/kitab-al-ghayba-tusi/43/36.json	tahdhib-al-ahkam
18	علي بن ابي طالب‏ عليهالسلام	عَلِىِّ بْنِ أَبِي طالِب‏ عَلَيْهِالسَّلامُ قال	books/uyun-akhbar-al-rida/2/1/121.json	uyun-akhbar-al-rida
17	ابي جعفر الباقر	أَبِي جَعْفَرٍ الْبَاقِرِ	books/al-amali-saduq/15/7.json	al-amali-saduq
17	ابن مسكان عن ابي بصير	ابنِ مُسكَانَ عَن أَبِي بَصِيرٍ	books/al-istibsar/4/40/14.json	al-istibsar
17	ابن سنان عن ابي عبد الله	ابنِ سِنَانٍ عَن أَبِي عَبدِ اللّهِ ع	books/al-istibsar/4/7/3.json	al-istibsar
17	محمد بن يعقوب عن عده من اصحابنا عن احمد بن محمد	مُحَمّدُ بنُ يَعقُوبَ عَن عِدّةٍ مِن أَصحَابِنَا عَن أَحمَدَ بنِ مُحَمّدٍ	books/al-istibsar/3/31/3.json	al-istibsar
17	الحسين بن سعيد عن محمد بن سنان	الحُسَينِ بنِ سَعِيدٍ عَن مُحَمّدِ بنِ سِنَانٍ	books/al-istibsar/2/106/1.json	al-istibsar
17	حكيم بن داود بن حكيم	حَدَّثَنِي حَكِيمُ بْنُ دَاوُدَ بْنِ حَكِيمٍ	books/kamil-al-ziyarat/2/102/1.json	kamil-al-ziyarat
17	عبد الواحد بن عبد الله بن يونس	عبد الواحد بن عبد الله بن يونس قال	books/kitab-al-ghayba-numani/2/10/14.json	kitab-al-ghayba-numani
17	ابي جعفر عليه السلام : انه سيل	أَبِي جَعْفَرٍ عَلَيْهِ اَلسَّلاَمُ : أَنَّهُ سُئِلَ	books/man-la-yahduruhu-al-faqih/3/3/25/49.json	tahdhib-al-ahkam
17	ساله سماعه	سَأَلَهُ سَمَاعَةُ :	books/man-la-yahduruhu-al-faqih/3/2/21/60.json	man-la-yahduruhu-al-faqih
16	ابيه جعفر بن محمد	أَبِيهِ جَعْفَرِ بْنِ مُحَمَّدٍ،	books/al-amali-mufid/33/2/1.json	uyun-akhbar-al-rida
16	علي بن حاتم	أخبرني علي بن حاتم (رحمه الله)، قال	books/al-amali-saduq/27/4.json	tahdhib-al-ahkam
16	حمزه بن محمد العلوي	حمزة بن محمد العلوي (رحمه الله)، قال	books/al-amali-saduq/44/7.json	al-tawhid
